member_id,company_id,age,gender,join_date
M0000001,C001,59,F,2024-07-06
M0000002,C001,33,M,2024-07-08
M0000003,C001,61,M,2024-08-31
M0000004,C001,20,M,2024-11-02
M0000005,C001,24,M,2024-11-24
M0000006,C001,56,F,2024-03-29
M0000007,C001,31,F,2024-09-21
M0000008,C001,43,M,2024-12-05
M0000009,C001,45,M,2024-09-20
M0000010,C001,52,F,2024-03-21
M0000011,C001,53,F,2024-12-25
M0000012,C001,21,F,2024-02-23
M0000013,C001,59,F,2024-11-05
M0000014,C001,46,M,2024-08-05
M0000015,C001,61,F,2024-07-20
M0000016,C001,53,F,2024-12-16
M0000017,C001,32,F,2024-08-02
M0000018,C001,57,M,2024-07-26
M0000019,C001,35,M,2024-02-22
M0000020,C001,41,F,2024-08-04
M0000021,C001,58,M,2024-01-15
M0000022,C001,18,M,2024-11-22
M0000023,C001,26,F,2024-05-08
M0000024,C001,61,F,2024-03-03
M0000025,C001,28,M,2024-03-21
M0000026,C001,25,M,2024-10-15
M0000027,C001,22,F,2024-08-18
M0000028,C001,58,F,2024-05-14
M0000029,C001,26,F,2024-09-24
M0000030,C001,51,M,2024-02-17
M0000031,C001,40,F,2024-08-03
M0000032,C001,54,M,2024-06-20
M0000033,C001,57,F,2024-02-04
M0000034,C001,18,M,2024-04-10
M0000035,C001,31,M,2024-09-13
M0000036,C001,22,F,2024-09-11
M0000037,C001,31,M,2024-10-09
M0000038,C001,26,M,2024-01-15
M0000039,C001,43,F,2024-06-27
M0000040,C001,49,M,2024-08-28
M0000041,C001,49,F,2024-08-09
M0000042,C001,54,M,2024-08-18
M0000043,C001,32,M,2024-01-29
M0000044,C001,53,M,2024-06-08
M0000045,C001,24,M,2024-08-30
M0000046,C001,39,F,2024-03-06
M0000047,C001,59,M,2024-03-02
M0000048,C001,23,F,2024-01-28
M0000049,C001,61,F,2024-12-05
M0000050,C001,47,F,2024-11-26
M0000051,C001,45,M,2024-08-18
M0000052,C001,50,M,2024-10-09
M0000053,C001,30,M,2024-09-15
M0000054,C001,56,F,2024-05-16
M0000055,C001,54,M,2024-11-02
M0000056,C001,59,F,2024-05-31
M0000057,C001,32,M,2024-06-08
M0000058,C001,49,F,2024-08-20
M0000059,C001,29,F,2024-10-21
M0000060,C001,19,M,2024-04-22
M0000061,C001,54,M,2024-03-21
M0000062,C001,19,F,2024-08-07
M0000063,C001,40,M,2024-08-11
M0000064,C001,50,M,2024-05-05
M0000065,C001,19,M,2024-06-20
M0000066,C001,43,F,2024-07-16
M0000067,C001,49,M,2024-11-19
M0000068,C001,28,F,2024-05-02
M0000069,C001,34,M,2024-10-20
M0000070,C001,41,M,2024-04-07
M0000071,C001,23,F,2024-08-27
M0000072,C001,33,M,2024-07-19
M0000073,C001,23,F,2024-12-14
M0000074,C001,20,F,2024-09-08
M0000075,C001,53,M,2024-12-11
M0000076,C001,20,M,2024-05-26
M0000077,C001,37,F,2024-07-17
M0000078,C001,58,M,2024-05-07
M0000079,C001,56,F,2024-12-25
M0000080,C001,18,M,2024-05-30
M0000081,C001,48,F,2024-10-24
M0000082,C001,52,M,2024-09-08
M0000083,C001,33,F,2024-04-21
M0000084,C001,19,M,2024-10-30
M0000085,C001,29,M,2024-02-06
M0000086,C001,49,M,2024-01-09
M0000087,C001,58,M,2024-05-26
M0000088,C001,33,M,2024-05-31
M0000089,C001,50,F,2024-04-25
M0000090,C001,28,M,2024-04-13
M0000091,C001,37,F,2024-08-14
M0000092,C001,42,M,2024-06-01
M0000093,C001,46,F,2024-12-03
M0000094,C001,19,F,2024-06-11
M0000095,C001,33,M,2024-06-17
M0000096,C001,53,M,2024-03-08
M0000097,C001,50,F,2024-10-03
M0000098,C001,37,F,2024-05-14
M0000099,C001,20,M,2024-05-07
M0000100,C001,50,F,2024-01-22
M0000101,C001,47,F,2024-08-17
M0000102,C001,25,M,2024-01-27
M0000103,C001,51,M,2024-10-12
M0000104,C001,50,F,2024-11-12
M0000105,C001,36,F,2024-02-04
M0000106,C001,34,F,2024-08-07
M0000107,C001,47,M,2024-02-15
M0000108,C001,23,M,2024-08-20
M0000109,C001,54,F,2024-12-14
M0000110,C001,48,M,2024-07-06
M0000111,C001,50,F,2024-07-09
M0000112,C001,38,F,2024-06-09
M0000113,C001,20,F,2024-01-18
M0000114,C001,42,F,2024-08-10
M0000115,C001,20,F,2024-06-22
M0000116,C001,41,F,2024-10-14
M0000117,C001,39,M,2024-05-06
M0000118,C001,44,F,2024-09-29
M0000119,C001,57,M,2024-10-25
M0000120,C001,56,M,2024-06-18
M0000121,C001,43,M,2024-11-01
M0000122,C001,42,F,2024-01-13
M0000123,C001,24,M,2024-02-05
M0000124,C001,37,M,2024-09-20
M0000125,C001,33,F,2024-05-22
M0000126,C001,45,F,2024-11-17
M0000127,C001,49,M,2024-12-07
M0000128,C001,42,F,2024-03-03
M0000129,C001,39,F,2024-02-27
M0000130,C001,39,M,2024-06-28
M0000131,C001,59,F,2024-09-27
M0000132,C001,60,F,2024-04-10
M0000133,C001,50,F,2024-02-22
M0000134,C001,61,F,2024-01-05
M0000135,C001,56,F,2024-09-18
M0000136,C001,49,F,2024-12-15
M0000137,C001,52,M,2024-11-03
M0000138,C001,33,M,2024-05-03
M0000139,C001,59,F,2024-05-26
M0000140,C001,34,F,2024-11-14
M0000141,C001,36,F,2024-02-27
M0000142,C001,43,M,2024-04-26
M0000143,C001,40,M,2024-05-08
M0000144,C001,18,M,2024-10-16
M0000145,C001,49,F,2024-04-27
M0000146,C001,42,F,2024-08-24
M0000147,C001,18,F,2024-07-07
M0000148,C001,56,F,2024-03-09
M0000149,C001,39,M,2024-09-03
M0000150,C001,20,F,2024-06-02
M0000151,C001,33,M,2024-03-26
M0000152,C001,46,F,2024-08-07
M0000153,C001,22,M,2024-04-03
M0000154,C001,22,F,2024-08-05
M0000155,C001,43,F,2024-12-06
M0000156,C001,56,F,2024-10-15
M0000157,C001,47,M,2024-01-23
M0000158,C001,27,F,2024-11-20
M0000159,C001,53,F,2024-06-28
M0000160,C001,48,F,2024-09-06
M0000161,C001,36,F,2024-04-05
M0000162,C001,18,F,2024-11-20
M0000163,C001,21,F,2024-10-06
M0000164,C001,33,M,2024-09-14
M0000165,C001,45,F,2024-06-08
M0000166,C001,44,F,2024-05-31
M0000167,C001,29,F,2024-06-11
M0000168,C001,50,M,2024-06-27
M0000169,C001,60,M,2024-09-24
M0000170,C001,20,M,2024-06-16
M0000171,C001,27,M,2024-02-13
M0000172,C001,46,M,2024-01-12
M0000173,C001,48,F,2024-09-09
M0000174,C001,52,M,2024-12-02
M0000175,C001,43,F,2024-04-02
M0000176,C001,43,F,2024-03-30
M0000177,C001,51,M,2024-04-14
M0000178,C001,24,F,2024-11-09
M0000179,C001,28,M,2024-08-04
M0000180,C001,38,M,2024-09-05
M0000181,C001,53,F,2024-12-22
