PROV_CODE,PROV_NAME,PROVIDER_NETWORK,PROVIDER_PRACTICE,PROVIDER_REGION,PROVIDER_TOWN
20068,Dallah Hospital - Nakeel,H. NW7,Hospital,Central,Riyadh
20134,Saudi German Hospitals Group,G. NW6,Hospital,Western,Jeddah
20147,United Doctors Hospital,F. NW5,Hospital,Western,Jeddah
22478,Oral Dental Clinics,J. ONW,Dental,Western,Jeddah
22671,Al Nahdi Medical Company,F. NW5,Pharmacy,Western,Jeddah
21800,DIMA Dental Center,F. NW5,Dental,Central,Riyadh
20056,Al Mana General Hospital - Al Jubail,F. NW5,Hospital,Eastern,Jubail Industrial
20057,Al Mana General Hospital - Al Khobar,F. NW5,Hospital,Eastern,Khobar
20058,Al Mana General Hospital - Dammam,F. NW5,Hospital,Eastern,Dammam
20459,Al Mana General Hospital - Hofuf,F. NW5,Hospital,Eastern,Al Hasa
20079,General Network Healthcare Providers Company,E. NW4,Hospital,Western,Jeddah
21966,Kahhal Medical Complex,E. NW4,Polyclinic,Eastern,Dammam
22666,Kahhal Optics Shop,E. NW4,Optical,Eastern,Dammam
20089,Magrabi Eye Ear & Dental Hospital - Jeddah,D. NW3,Dental & Eye Center,Western,Jeddah
20236,Al Amen Hospital,D. NW3,Hospital,Western,Taif
21884,Magrabi Eye Center - North Jeddah - Salama Center,D. NW3,Eye Center,Western,Jeddah
22544,Dr Ahmed Batal Eye Center,D. NW3,Eye Center,Western,Jeddah
20093,Magrabi Eye & Ear Center - Makkah,D. NW3,Eye Center,Western,Makkah
21210,Magrabi Eye Ear & Dental Center - Riyadh,D. NW3,Dental & Eye Center,Central,Riyadh
22627,Magrabi Hospital - Riyadh,D. NW3,Hospital,Central,Riyadh
21731,Magrabi Eye Center - Al Ahsaa,D. NW3,Eye Center,Eastern,Al Hasa
21752,Magrabi Eye Ear & Dental Center - Al Khobar,D. NW3,Dental & Eye Center,Eastern,Khobar
20091,"Magrabi Eye, Ear & Dental Hospital - Dammam",D. NW3,Eye Center,Eastern,Dammam
21670,Magrabi Eye Ear & Dental Center - Jazan,D. NW3,Dental & Eye Center,Southern,Gizan
20090,Magrabi Eye Ear & Dental Hospital - Aseer,D. NW3,Dental & Eye Center,Southern,Khamis Mushayt
22486,Al Ansari Vision Group,C. NW2,Optical,Western,Yanbu Al Bahar
22577,Ainy Ainak Optical,C. NW2,Optical,Western,Jeddah
20045,GAMA Hospital,C. NW2,Hospital,Eastern,Khobar
20248,Al Emeis National Hospital,C. NW2,Hospital,Southern,Sabya
22417,Al Shamil Family Polyclinic Group - Shaba'a,C. NW2,Polyclinic,Southern,Khamis Mushayt
22626,6/6 Optics,C. NW2,Optical,Southern,Najran
20100,Al Zahra Hospital - Jeddah,L. NWS,Hospital,Western,Jeddah
21744,Al Nakheel National Clinic - Rabigh,L. NWS,Polyclinic,Western,Rabigh
22161,Al Bashawri Optical - Makkah,L. NWS,Optical,Western,Makkah
22361,Wesam Optical,L. NWS,Optical,Western,Yanbu Al Bahar
20030,Obeid Specialist Hospital - Riyadh,L. NWS,Hospital,Central,Riyadh
22180,Physical Therapists Center,L. NWS,Physiotherapy Center,Central,Riyadh
21947,Consultant Radiologists (Riyadh Scan),L. NWS,Radiology,Central,Riyadh
22540,Renad Optical - Al Badia,L. NWS,Optical,Central,Riyadh
22541,Renad Optical - Al Shefa,L. NWS,Optical,Central,Riyadh
22593,Al Madina Optical Group,L. NWS,Optical,Central,Riyadh
22542,Renad Optical - Al Malaz,L. NWS,Optical,Central,Riyadh
22401,Primary Care Medical Complex 1,L. NWS,Polyclinic,Central,Al Muzahmiya
20194,Al Anwar Medical Company,L. NWS,Hospital,Central,Hail
21721,Al Sadiq Hospital,L. NWS,Hospital,Eastern,Sayhat
22291,Al Wazzan Vision,L. NWS,Optical,Eastern,Dammam
22605,Al Otaich Polyclinic,L. NWS,Polyclinic,Eastern,Al Oyoun
20050,Al Zahra Hospital - Madinah,L. NWS,Hospital,Western,Madinah
21736,Al Ahli Hospital - Khamis Mushyat,L. NWS,Hospital,Southern,Khamis Mushayt
22381,Nokhbat Al Ganoob Medical Polyclinic,J. ONW,Polyclinic,Southern,Gizan
22190,Eye Art,A. NWR,Optical,Western,Jeddah
22543,Makkah Polyclinic - Al Zaher,A. NWR,Polyclinic,Western,Makkah
22513,Class Optical,A. NWR,Optical,Central,Riyadh
22220,Rawnaq Dental Clinic - Khobar,J. ONW,Dental,Eastern,Khobar
22675,Majid Naji Optics,B. NW1,Optical,Western,Yanbu
22284,AlFarabi Dental and Orthodontic in Qatif,B. NW1,Dental,Eastern,Qatif
22731,Manarat Al Moroj Polyclinic,B. NW1,Polyclinic,Northern,Tabuk
22931,Abed House Dental Care,H. NW7,Dental,Overseas,Amman
22897,Al Noor Specialist Hospital - Bahrain,H. NW7,Hospital,Overseas,Manama
22930,International Hospital of Bahrain,H. NW7,Hospital,Overseas,Manama
21934,Al Rajhi Polyclinic - Jeddah,J. ONW,Polyclinic,Western,Jeddah
22755,Al Faisaliah Haddad Optics Co,C. NW2,Optical,Eastern,Al Hasa
